Participant,Speeds-Count,Speed1,Block,Distance,Direction,LToR-or-RToL,Execution-time,Speed2,Average,Reg,Speed1,Speed2,Average1,Average2,Average3,Relative-Speed
13,3,3,2,Long,Horizontal,R,0.048,8.48E-05,0.001104771,-0.001019971,1,0.005390252,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,1,2,Long,Horizontal,L,3.024,0.005360624,0.001104771,0.004255853,1,0.00373776,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,2,2,Long,Vertical,R,1.014,0.001813907,0.001104771,0.000709136,1,0.003597596,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,3,2,Long,Vertical,L,1.029,0.001831596,0.001104771,0.000726825,1,0.001910195,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,1,2,Long,Diagonal,R,0.059,9.57E-05,0.001104771,-0.001009071,1,0.005447346,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,2,2,Long,Diagonal,L,0.047,7.70E-05,0.001104771,-0.001027771,1,0.003445799,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,3,2,Short,Horizontal,R,0.009,5.04E-05,0.001104771,-0.001054371,1,0.003543845,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,1,2,Short,Horizontal,L,0.099,5.90E-04,0.001104771,-0.000514771,1,0.030062146,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,2,2,Short,Vertical,R,0.087,5.41E-04,0.001104771,-0.000563771,1,0.017275281,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,3,2,Short,Vertical,L,0.008,5.03E-05,0.001104771,-0.001054471,1,0.006286786,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,1,2,Short,Diagonal,R,2.03,0.00681988,0.001104771,0.005715109,1,2.34E-04,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,2,2,Short,Diagonal,L,1.064,0.003454109,0.001104771,0.002349338,1,1.46E-04,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,3,2,Medium,Horizontal,R,0.033,8.98E-05,0.001104771,-0.001014971,1,9.97E-05,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,1,2,Medium,Horizontal,L,2.026,0.005575853,0.001104771,0.004471082,1,8.36E-05,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,2,2,Medium,Vertical,R,1.069,0.002969353,0.001104771,0.001864582,1,1.19E-04,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,3,2,Medium,Vertical,L,0.026,7.15E-05,0.001104771,-0.001033271,1,6.62E-05,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,1,2,Medium,Diagonal,R,2.075,0.00442306,0.001104771,0.003318289,1,1.22E-04,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,2,2,Medium,Diagonal,L,1.083,0.00260393,0.001104771,0.001499159,1,9.92E-05,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,3,2,Long,Horizontal,R,0.027,4.84E-05,0.001104771,-0.001056371,1,1.76E-04,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,1,2,Long,Horizontal,L,2.088,0.003730565,0.001104771,0.002625794,1,1.41E-04,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,2,2,Long,Vertical,R,1.092,0.001942274,0.001104771,0.000837503,1,8.54E-05,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,3,2,Long,Vertical,L,0.04,7.12E-05,0.001104771,-0.001033571,1,0.005700218,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,1,2,Long,Diagonal,R,2.053,0.003302282,0.001104771,0.002197511,1,0.005197234,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,2,2,Long,Diagonal,L,3.016,0.004714791,0.001104771,0.00361002,1,1.42E-04,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,3,3,Short,Horizontal,R,0.009,5.56E-05,0.001104771,-0.001049171,1,0.004963764,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,3,3,Short,Horizontal,L,0.008,4.81E-05,0.001104771,-0.001056671,1,1.06E-04,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,2,3,Short,Vertical,R,0.068,4.02E-04,0.001104771,-0.000702771,1,2.91E-04,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,2,3,Short,Vertical,L,0.011,6.83E-05,0.001104771,-0.001036471,1,3.06E-04,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,1,3,Short,Diagonal,R,1.003,0.003169721,0.001104771,0.00206495,1,0.022361881,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,1,3,Short,Diagonal,L,0.07,3.03E-04,0.001104771,-0.000801771,1,0.027737856,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,1,3,Short,Horizontal,R,0.039,2.38E-04,0.001104771,-0.000866771,1,1.35E-04,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,2,3,Short,Horizontal,L,0.069,4.27E-04,0.001104771,-0.000677771,1,1.01E-04,0.006195928,2.48E-03,5.74E-04,-1.91E-03
