Participant,Speeds-Count,Speed1,Block,Distance,Direction,LToR-or-RToL,Execution-time,Speed2
2,2,1,1,Medium,Horizontal,R,0.053,1.46E-04
2,2,1,1,Medium,Horizontal,L,0.025,6.99E-05
2,2,1,1,Medium,Vertical,R,0.027,7.45E-05
2,2,1,1,Medium,Vertical,L,0.032,8.73E-05
2,2,1,1,Medium,Diagonal,R,0.024,5.11E-05
2,2,1,1,Medium,Diagonal,L,0.044,1.02E-04
2,2,1,1,Long,Horizontal,R,0.027,4.73E-05
2,2,1,1,Long,Horizontal,L,0.054,9.57E-05
2,2,1,1,Long,Vertical,R,0.061,1.09E-04
2,2,1,1,Long,Vertical,L,0.047,8.29E-05
2,2,1,1,Long,Diagonal,R,0.049,7.80E-05
2,2,1,1,Long,Diagonal,L,0.052,8.64E-05
2,2,2,1,Short,Horizontal,R,2.061,0.008686619
2,2,2,1,Short,Horizontal,L,0.011,6.67E-05
2,2,2,1,Short,Vertical,R,0.013,7.80E-05
2,2,2,1,Short,Vertical,L,0.015,8.75E-05
2,2,2,1,Short,Diagonal,R,0.016,5.80E-05
2,2,2,1,Short,Diagonal,L,1.079,0.005878996
2,2,2,1,Medium,Horizontal,R,2.035,0.005841145
2,2,2,1,Medium,Horizontal,L,0.074,2.05E-04
2,2,2,1,Medium,Vertical,R,1.02,0.002810483
2,2,2,1,Medium,Vertical,L,0.069,1.75E-04
2,2,2,1,Medium,Diagonal,R,0.043,1.10E-04
2,2,2,1,Medium,Diagonal,L,0.057,1.52E-04
2,2,2,1,Long,Horizontal,R,0.051,9.14E-05
2,2,2,1,Long,Horizontal,L,2.053,0.00372777
2,2,2,1,Long,Vertical,R,0.076,1.35E-04
2,2,2,1,Long,Vertical,L,0.06,1.04E-04
2,2,2,1,Long,Diagonal,R,0.04,6.77E-05
2,2,2,1,Long,Diagonal,L,0.073,1.22E-04
2,2,1,2,Short,Horizontal,R,0.01,5.97E-05
2,2,2,2,Short,Horizontal,L,0.015,9.21E-05
2,2,1,2,Short,Vertical,R,0.024,1.46E-04
2,2,2,2,Short,Vertical,L,0.03,1.66E-04
2,2,1,2,Short,Diagonal,R,0.03,1.20E-04
2,2,2,2,Short,Diagonal,L,0.03,1.28E-04
2,2,1,2,Medium,Horizontal,R,0.029,7.97E-05
2,2,2,2,Medium,Horizontal,L,0.034,9.35E-05
2,2,1,2,Medium,Vertical,R,0.045,1.25E-04
2,2,2,2,Medium,Vertical,L,0.04,1.03E-04
2,2,1,2,Medium,Diagonal,R,0.032,7.72E-05
2,2,2,2,Medium,Diagonal,L,0.025,6.01E-05
2,2,1,2,Long,Horizontal,R,0.042,7.39E-05
2,2,2,2,Long,Horizontal,L,0.053,9.47E-05
2,2,1,2,Long,Vertical,R,0.042,7.39E-05
2,2,2,2,Long,Vertical,L,0.059,1.01E-04
2,2,1,2,Long,Diagonal,R,0.062,1.04E-04
2,2,2,2,Long,Diagonal,L,0.047,7.83E-05
2,2,1,2,Short,Horizontal,R,0.014,8.63E-05
2,2,2,2,Short,Horizontal,L,0.013,8.46E-05
2,2,1,2,Short,Vertical,R,0.019,1.18E-04
2,2,2,2,Short,Vertical,L,0.025,1.47E-04
2,2,1,2,Short,Diagonal,R,0.019,8.91E-05
2,2,2,2,Short,Diagonal,L,0.019,1.02E-04
2,2,1,2,Medium,Horizontal,R,0.029,8.10E-05
2,2,2,2,Medium,Horizontal,L,0.022,6.12E-05
2,2,1,2,Medium,Vertical,R,0.049,1.39E-04
2,2,2,2,Medium,Vertical,L,0.041,1.11E-04
2,2,1,2,Medium,Diagonal,R,0.045,1.15E-04
2,2,2,2,Medium,Diagonal,L,0.027,6.83E-05
2,2,1,2,Long,Horizontal,R,0.037,6.62E-05
2,2,2,2,Long,Horizontal,L,0.043,7.66E-05
2,2,1,2,Long,Vertical,R,0.052,9.29E-05
2,2,2,2,Long,Vertical,L,0.053,9.39E-05
2,2,1,2,Long,Diagonal,R,0.026,4.28E-05
2,2,2,2,Long,Diagonal,L,1.023,0.001800105
2,2,1,3,Short,Horizontal,R,0.012,7.30E-05
2,2,1,3,Long,Diagonal,L,0.026,4.37E-05
2,2,2,3,Short,Horizontal,L,0.011,6.71E-05
2,2,2,3,Long,Diagonal,R,0.026,3.96E-05
2,2,1,3,Short,Vertical,R,0.01,6.30E-05
2,2,1,3,Long,Vertical,L,0.055,9.33E-05
2,2,1,3,Short,Vertical,L,0.033,1.84E-04
2,2,1,3,Long,Vertical,R,0.033,5.91E-05
2,2,2,3,Short,Diagonal,R,0.066,2.22E-04
2,2,2,3,Long,Horizontal,L,0.039,6.98E-05
2,2,1,3,Short,Diagonal,L,0.018,9.02E-05
2,2,1,3,Long,Horizontal,R,0.039,6.96E-05
2,2,2,3,Medium,Horizontal,R,0.084,2.45E-04
2,2,2,3,Medium,Diagonal,L,0.028,6.96E-05
2,2,1,3,Medium,Horizontal,L,0.026,7.18E-05
2,2,1,3,Medium,Diagonal,R,0.029,6.58E-05
2,2,2,3,Medium,Vertical,R,1.073,0.003075976
2,2,2,3,Medium,Vertical,L,0.03,7.87E-05
2,2,1,3,Medium,Vertical,L,0.042,1.07E-04
2,2,1,3,Medium,Vertical,R,0.037,9.63E-05
2,2,2,3,Medium,Diagonal,R,0.042,9.53E-05
2,2,2,3,Medium,Horizontal,L,0.026,7.23E-05
2,2,1,3,Medium,Diagonal,L,0.023,5.69E-05
2,2,1,3,Medium,Horizontal,R,0.018,4.83E-05
2,2,2,3,Long,Horizontal,R,0.044,7.73E-05
2,2,2,3,Short,Diagonal,L,0.016,7.89E-05
2,2,1,3,Long,Horizontal,L,0.077,1.38E-04
2,2,1,3,Short,Diagonal,R,0.019,8.22E-05
2,2,2,3,Long,Vertical,R,0.072,1.26E-04
2,2,2,3,Short,Vertical,L,0.01,6.21E-05
2,2,1,3,Long,Vertical,L,0.057,1.01E-04
2,2,1,3,Short,Vertical,R,0.016,8.72E-05
2,2,2,3,Long,Diagonal,R,0.077,1.33E-04
2,2,2,3,Short,Horizontal,L,2.002,0.014078707
2,2,1,3,Long,Diagonal,L,0.061,1.04E-04
2,2,1,3,Short,Horizontal,R,0.012,6.61E-05
2,2,1,4,Short,Horizontal,R,0.016,9.59E-05
2,2,2,4,Short,Horizontal,L,0.015,9.31E-05
