Participant,Speeds-Count,Speed1,Block,Distance,Direction,LToR-or-RToL,Execution-time,Speed2,Average,Reg,OverAllAverage,Relative-Speed,Average1,Average2,average11,Speed1,Speed2
1,2,2,2,Medium,Diagonal,R,0.048,1.16E-04,0.003373259,-0.003257259,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,4.44E-04
1,2,2,2,Medium,Horizontal,L,0.049,1.36E-04,0.003373259,-0.003237259,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,0.001869608
1,2,1,2,Medium,Diagonal,L,0.05,1.26E-04,0.003373259,-0.003247259,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,0.006451715
1,2,1,2,Medium,Horizontal,R,1.086,0.002963521,0.003373259,-0.000409738,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,0.003641636
1,2,2,2,Long,Horizontal,R,0.033,5.90E-05,0.003373259,-0.003314259,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,4.44E-04
1,2,2,2,Short,Diagonal,L,0.071,4.46E-04,0.003373259,-0.002927259,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,0.005415208
1,2,1,2,Long,Horizontal,L,1.056,0.001883191,0.003373259,-0.001490068,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,3.78E-04
1,2,1,2,Short,Diagonal,R,0.041,1.80E-04,0.003373259,-0.003193259,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,0.003697627
1,2,2,2,Long,Vertical,R,0.076,1.35E-04,0.003373259,-0.003238259,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,0.005611111
1,2,2,2,Short,Vertical,L,0.015,9.36E-05,0.003373259,-0.003279659,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,0.004855922
1,2,1,2,Long,Vertical,L,2.05,0.003660621,0.003373259,0.000287362,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,0.008386666
1,2,1,2,Short,Vertical,R,0.07,4.35E-04,0.003373259,-0.002938259,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,0.008374968
1,2,2,2,Long,Diagonal,R,0.057,9.42E-05,0.003373259,-0.003279059,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,0.00285628
1,2,2,2,Short,Horizontal,L,0.032,1.97E-04,0.003373259,-0.003176259,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,0.00556921
1,2,1,2,Long,Diagonal,L,1.089,0.001808439,0.003373259,-0.00156482,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,0.003661264
1,2,1,2,Short,Horizontal,R,0.064,4.03E-04,0.003373259,-0.002970259,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,0.004226637
1,2,1,3,Short,Horizontal,R,0.081,5.19E-04,0.003373259,-0.002854259,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,0.00365656
